Vmag,Theta,Convergence
0.7793969849246232,3.0784450625628628,True
0.7793969849246232,3.1100188580763284,True
0.7793969849246232,3.141592653589793,True
0.784924623115578,-3.141592653589793,True
0.784924623115578,-3.110018858076328,True
0.784924623115578,-3.0784450625628628,True
0.784924623115578,-3.046871267049397,True
0.784924623115578,-3.015297471535932,True
0.784924623115578,-2.983723676022467,True
0.784924623115578,-2.9521498805090016,True
0.784924623115578,-2.9205760849955364,True
0.784924623115578,-2.889002289482071,True
0.784924623115578,-2.8574284939686057,True
0.784924623115578,-2.8258546984551405,True
0.784924623115578,-2.7942809029416753,True
0.784924623115578,-2.76270710742821,True
0.784924623115578,-2.7311333119147445,True
0.784924623115578,-2.6995595164012793,True
0.784924623115578,-2.667985720887814,True
0.784924623115578,-2.636411925374349,True
0.784924623115578,-2.604838129860884,True
0.784924623115578,-2.573264334347418,True
0.784924623115578,-2.5416905388339535,True
0.784924623115578,-2.510116743320488,True
0.784924623115578,-2.4785429478070227,True
0.784924623115578,-2.4469691522935575,True
0.784924623115578,-2.4153953567800923,True
0.784924623115578,-2.383821561266627,True
0.784924623115578,-2.3522477657531615,True
0.784924623115578,-2.3206739702396963,True
0.784924623115578,-2.289100174726231,True
0.784924623115578,-2.257526379212766,True
0.784924623115578,-2.225952583699301,True
0.784924623115578,-2.194378788185835,True
0.784924623115578,-2.16280499267237,True
0.784924623115578,-2.131231197158905,True
0.784924623115578,-2.0996574016454397,True
0.784924623115578,-2.0680836061319745,True
0.784924623115578,-2.036509810618509,True
0.784924623115578,-2.0049360151050437,True
0.784924623115578,-1.9733622195915785,True
0.784924623115578,-1.9417884240781134,True
0.784924623115578,-1.910214628564648,True
0.784924623115578,-1.8786408330511828,True
0.784924623115578,-1.8470670375377176,True
0.784924623115578,-1.8154932420242522,True
0.784924623115578,-1.783919446510787,True
0.784924623115578,-1.7523456509973219,True
0.784924623115578,-1.7207718554838565,True
0.784924623115578,-1.6891980599703913,True
0.784924623115578,-1.657624264456926,True
0.784924623115578,-1.6260504689434607,True
0.784924623115578,-1.5944766734299956,True
0.784924623115578,-1.5629028779165302,True
0.784924623115578,-1.531329082403065,True
0.784924623115578,-1.4997552868895996,True
0.784924623115578,-1.4681814913761344,True
0.784924623115578,-1.4366076958626692,True
0.784924623115578,-1.4050339003492038,True
0.784924623115578,-1.3734601048357387,True
0.784924623115578,-1.3418863093222735,True
0.784924623115578,-1.310312513808808,True
0.784924623115578,-1.278738718295343,True
0.784924623115578,-1.2471649227818777,True
0.784924623115578,-1.2155911272684123,True
0.784924623115578,-1.1840173317549472,True
0.784924623115578,-1.1524435362414818,True
0.784924623115578,-1.1208697407280166,True
0.784924623115578,-1.0892959452145514,True
0.784924623115578,-1.0577221497010862,True
0.784924623115578,-1.0261483541876206,True
0.784924623115578,-0.9945745586741555,True
0.784924623115578,-0.9630007631606903,True
0.784924623115578,-0.9314269676472251,True
0.784924623115578,-0.8998531721337599,True
0.784924623115578,-0.8682793766202943,True
0.784924623115578,-0.8367055811068291,True
0.784924623115578,-0.805131785593364,True
0.784924623115578,-0.7735579900798988,True
0.784924623115578,-0.7419841945664336,True
0.784924623115578,-0.7104103990529684,True
0.784924623115578,-0.6788366035395028,True
0.784924623115578,-0.6472628080260376,True
0.784924623115578,-0.6156890125125725,True
0.784924623115578,-0.5841152169991073,True
0.784924623115578,-0.5525414214856421,True
0.784924623115578,-0.5209676259721765,True
0.784924623115578,-0.4893938304587113,True
0.784924623115578,-0.45782003494524615,True
0.784924623115578,-0.42624623943178097,True
0.784924623115578,-0.3946724439183158,True
0.784924623115578,-0.3630986484048506,True
0.784924623115578,-0.331524852891385,True
0.784924623115578,-0.2999510573779198,True
0.784924623115578,-0.26837726186445465,True
0.784924623115578,-0.23680346635098948,True
0.784924623115578,-0.2052296708375243,True
0.784924623115578,-0.17365587532405868,True
0.784924623115578,-0.1420820798105935,True
0.784924623115578,-0.11050828429712833,True
0.784924623115578,-0.07893448878366316,True
0.784924623115578,-0.047360693270197984,True
0.784924623115578,-0.015786897756732365,True
0.784924623115578,0.01578689775673281,True
0.784924623115578,0.047360693270197984,True
0.784924623115578,0.07893448878366316,True
0.784924623115578,0.11050828429712833,True
0.784924623115578,0.14208207981059395,True
0.784924623115578,0.17365587532405913,True
0.784924623115578,0.2052296708375243,True
0.784924623115578,0.23680346635098948,True
0.784924623115578,0.26837726186445465,True
0.784924623115578,0.2999510573779198,True
0.784924623115578,0.33152485289138545,True
0.784924623115578,0.3630986484048506,True
0.784924623115578,0.3946724439183158,True
0.784924623115578,0.42624623943178097,True
0.784924623115578,0.45782003494524615,True
0.784924623115578,0.48939383045871176,True
0.784924623115578,0.5209676259721769,True
0.784924623115578,0.5525414214856421,True
0.784924623115578,0.5841152169991073,True
0.784924623115578,0.6156890125125725,True
0.784924623115578,0.6472628080260376,True
0.784924623115578,0.6788366035395033,True
0.784924623115578,0.7104103990529684,True
0.784924623115578,0.7419841945664336,True
0.784924623115578,0.7735579900798988,True
0.784924623115578,0.805131785593364,True
0.784924623115578,0.8367055811068296,True
0.784924623115578,0.8682793766202943,True
0.784924623115578,0.8998531721337599,True
0.784924623115578,0.9314269676472255,True
0.784924623115578,0.9630007631606903,True
0.784924623115578,0.9945745586741559,True
0.784924623115578,1.0261483541876206,True
0.784924623115578,1.0577221497010862,True
0.784924623115578,1.0892959452145519,True
0.784924623115578,1.1208697407280166,True
0.784924623115578,1.1524435362414822,True
0.784924623115578,1.184017331754947,True
0.784924623115578,1.2155911272684126,True
0.784924623115578,1.2471649227818782,True
0.784924623115578,1.278738718295343,True
0.784924623115578,1.3103125138088085,True
0.784924623115578,1.3418863093222733,True
0.784924623115578,1.3734601048357389,True
0.784924623115578,1.4050339003492045,True
0.784924623115578,1.4366076958626692,True
0.784924623115578,1.4681814913761349,True
0.784924623115578,1.4997552868895996,True
0.784924623115578,1.5313290824030652,True
0.784924623115578,1.56290287791653,True
0.784924623115578,1.5944766734299956,True
0.784924623115578,1.6260504689434612,True
0.784924623115578,1.657624264456926,True
0.784924623115578,1.6891980599703915,True
0.784924623115578,1.7207718554838562,True
0.784924623115578,1.7523456509973219,True
0.784924623115578,1.7839194465107875,True
0.784924623115578,1.8154932420242522,True
0.784924623115578,1.8470670375377178,True
0.784924623115578,1.8786408330511826,True
0.784924623115578,1.9102146285646482,True
0.784924623115578,1.9417884240781138,True
0.784924623115578,1.9733622195915785,True
0.784924623115578,2.004936015105044,True
0.784924623115578,2.036509810618509,True
0.784924623115578,2.0680836061319745,True
0.784924623115578,2.09965740164544,True
0.784924623115578,2.131231197158905,True
0.784924623115578,2.1628049926723705,True
0.784924623115578,2.194378788185835,True
0.784924623115578,2.225952583699301,True
0.784924623115578,2.2575263792127664,True
0.784924623115578,2.289100174726231,True
0.784924623115578,2.320673970239697,True
0.784924623115578,2.3522477657531615,True
0.784924623115578,2.383821561266627,True
0.784924623115578,2.415395356780092,True
0.784924623115578,2.4469691522935575,True
0.784924623115578,2.478542947807023,True
0.784924623115578,2.510116743320488,True
0.784924623115578,2.5416905388339535,True
0.784924623115578,2.573264334347418,True
0.784924623115578,2.604838129860884,True
0.784924623115578,2.6364119253743494,True
0.784924623115578,2.667985720887814,True
0.784924623115578,2.69955951640128,True
0.784924623115578,2.7311333119147445,True
0.784924623115578,2.76270710742821,True
0.784924623115578,2.7942809029416757,True
0.784924623115578,2.8258546984551405,True
0.784924623115578,2.857428493968606,True
0.784924623115578,2.889002289482071,True
0.784924623115578,2.9205760849955364,True
0.784924623115578,2.952149880509002,True
0.784924623115578,2.983723676022467,True
0.784924623115578,3.0152974715359324,True
0.784924623115578,3.046871267049397,True
0.784924623115578,3.0784450625628628,True
0.784924623115578,3.1100188580763284,True
0.784924623115578,3.141592653589793,True
0.7904522613065327,-3.141592653589793,True
0.7904522613065327,-3.110018858076328,True
0.7904522613065327,-3.0784450625628628,True
0.7904522613065327,-3.046871267049397,True
0.7904522613065327,-3.015297471535932,True
0.7904522613065327,-2.983723676022467,True
0.7904522613065327,-2.9521498805090016,True
0.7904522613065327,-2.9205760849955364,True
0.7904522613065327,-2.889002289482071,True
0.7904522613065327,-2.8574284939686057,True
0.7904522613065327,-2.8258546984551405,True
0.7904522613065327,-2.7942809029416753,True
0.7904522613065327,-2.76270710742821,True
0.7904522613065327,-2.7311333119147445,True
0.7904522613065327,-2.6995595164012793,True
0.7904522613065327,-2.667985720887814,True
0.7904522613065327,-2.636411925374349,True
0.7904522613065327,-2.604838129860884,True
0.7904522613065327,-2.573264334347418,True
0.7904522613065327,-2.5416905388339535,True
0.7904522613065327,-2.510116743320488,True
0.7904522613065327,-2.4785429478070227,True
0.7904522613065327,-2.4469691522935575,True
0.7904522613065327,-2.4153953567800923,True
0.7904522613065327,-2.383821561266627,True
0.7904522613065327,-2.3522477657531615,True
0.7904522613065327,-2.3206739702396963,True
0.7904522613065327,-2.289100174726231,True
0.7904522613065327,-2.257526379212766,True
0.7904522613065327,-2.225952583699301,True
0.7904522613065327,-2.194378788185835,True
0.7904522613065327,-2.16280499267237,True
0.7904522613065327,-2.131231197158905,True
0.7904522613065327,-2.0996574016454397,True
0.7904522613065327,-2.0680836061319745,True
0.7904522613065327,-2.036509810618509,True
0.7904522613065327,-2.0049360151050437,True
0.7904522613065327,-1.9733622195915785,True
0.7904522613065327,-1.9417884240781134,True
0.7904522613065327,-1.910214628564648,True
0.7904522613065327,-1.8786408330511828,True
0.7904522613065327,-1.8470670375377176,True
0.7904522613065327,-1.8154932420242522,True
0.7904522613065327,-1.783919446510787,True
0.7904522613065327,-1.7523456509973219,True
0.7904522613065327,-1.7207718554838565,True
0.7904522613065327,-1.6891980599703913,True
0.7904522613065327,-1.657624264456926,True
0.7904522613065327,-1.6260504689434607,True
0.7904522613065327,-1.5944766734299956,True
0.7904522613065327,-1.5629028779165302,True
0.7904522613065327,-1.531329082403065,True
0.7904522613065327,-1.4997552868895996,True
0.7904522613065327,-1.4681814913761344,True
0.7904522613065327,-1.4366076958626692,True
0.7904522613065327,-1.4050339003492038,True
0.7904522613065327,-1.3734601048357387,True
0.7904522613065327,-1.3418863093222735,True
0.7904522613065327,-1.310312513808808,True
0.7904522613065327,-1.278738718295343,True
0.7904522613065327,-1.2471649227818777,True
0.7904522613065327,-1.2155911272684123,True
0.7904522613065327,-1.1840173317549472,True
0.7904522613065327,-1.1524435362414818,True
0.7904522613065327,-1.1208697407280166,True
0.7904522613065327,-1.0892959452145514,True
0.7904522613065327,-1.0577221497010862,True
0.7904522613065327,-1.0261483541876206,True
0.7904522613065327,-0.9945745586741555,True
0.7904522613065327,-0.9630007631606903,True
0.7904522613065327,-0.9314269676472251,True
0.7904522613065327,-0.8998531721337599,True
0.7904522613065327,-0.8682793766202943,True
0.7904522613065327,-0.8367055811068291,True
0.7904522613065327,-0.805131785593364,True
0.7904522613065327,-0.7735579900798988,True
0.7904522613065327,-0.7419841945664336,True
0.7904522613065327,-0.7104103990529684,True
0.7904522613065327,-0.6788366035395028,True
0.7904522613065327,-0.6472628080260376,True
0.7904522613065327,-0.6156890125125725,True
0.7904522613065327,-0.5841152169991073,True
0.7904522613065327,-0.5525414214856421,True
0.7904522613065327,-0.5209676259721765,True
0.7904522613065327,-0.4893938304587113,True
0.7904522613065327,-0.45782003494524615,True
0.7904522613065327,-0.42624623943178097,True
0.7904522613065327,-0.3946724439183158,True
0.7904522613065327,-0.3630986484048506,True
0.7904522613065327,-0.331524852891385,True
0.7904522613065327,-0.2999510573779198,True
0.7904522613065327,-0.26837726186445465,True
0.7904522613065327,-0.23680346635098948,True
0.7904522613065327,-0.2052296708375243,True
0.7904522613065327,-0.17365587532405868,True
0.7904522613065327,-0.1420820798105935,True
0.7904522613065327,-0.11050828429712833,True
0.7904522613065327,-0.07893448878366316,True
0.7904522613065327,-0.047360693270197984,True
0.7904522613065327,-0.015786897756732365,True
0.7904522613065327,0.01578689775673281,True
0.7904522613065327,0.047360693270197984,True
0.7904522613065327,0.07893448878366316,True
0.7904522613065327,0.11050828429712833,True
0.7904522613065327,0.14208207981059395,True
0.7904522613065327,0.17365587532405913,True
0.7904522613065327,0.2052296708375243,True
0.7904522613065327,0.23680346635098948,True
0.7904522613065327,0.26837726186445465,True
0.7904522613065327,0.2999510573779198,True
0.7904522613065327,0.33152485289138545,True
0.7904522613065327,0.3630986484048506,True
0.7904522613065327,0.3946724439183158,True
0.7904522613065327,0.42624623943178097,True
0.7904522613065327,0.45782003494524615,True
0.7904522613065327,0.48939383045871176,True
0.7904522613065327,0.5209676259721769,True
0.7904522613065327,0.5525414214856421,True
0.7904522613065327,0.5841152169991073,True
0.7904522613065327,0.6156890125125725,True
0.7904522613065327,0.6472628080260376,True
0.7904522613065327,0.6788366035395033,True
0.7904522613065327,0.7104103990529684,True
0.7904522613065327,0.7419841945664336,True
0.7904522613065327,0.7735579900798988,True
0.7904522613065327,0.805131785593364,True
0.7904522613065327,0.8367055811068296,True
0.7904522613065327,0.8682793766202943,True
0.7904522613065327,0.8998531721337599,True
0.7904522613065327,0.9314269676472255,True
0.7904522613065327,0.9630007631606903,True
0.7904522613065327,0.9945745586741559,True
0.7904522613065327,1.0261483541876206,True
0.7904522613065327,1.0577221497010862,True
0.7904522613065327,1.0892959452145519,True
0.7904522613065327,1.1208697407280166,True
0.7904522613065327,1.1524435362414822,True
0.7904522613065327,1.184017331754947,True
0.7904522613065327,1.2155911272684126,True
0.7904522613065327,1.2471649227818782,True
0.7904522613065327,1.278738718295343,True
0.7904522613065327,1.3103125138088085,True
0.7904522613065327,1.3418863093222733,True
0.7904522613065327,1.3734601048357389,True
0.7904522613065327,1.4050339003492045,True
0.7904522613065327,1.4366076958626692,True
0.7904522613065327,1.4681814913761349,True
